City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
Rikitea,-23.12,-134.97,73.67,80,0,17.07,1603111965,PF
Bluff,-46.6,168.33,46.99,85,96,18.01,1603111965,NZ
Esperance,-33.87,121.9,60.33,84,0,15.12,1603111965,AU
Shouguang,36.88,118.74,61,50,0,7.05,1603111965,CN
Khorixas,-20.37,14.97,103.03,7,0,3.42,1603111966,NA
Lompoc,34.64,-120.46,54,96,0,4.21,1603111791,US
Ushuaia,-54.8,-68.3,39.18,74,96,21.61,1603111667,AR
Antigonish,45.62,-62,50,97,100,4.36,1603111966,CA
Yellowknife,62.46,-114.35,21,96,100,1.99,1603111967,CA
Hithadhoo,-0.6,73.08,82.9,77,100,12.44,1603111967,MV
Kopavogur,64.11,-21.91,42.01,70,9,2.89,1603111967,IS
Clyde River,70.47,-68.59,33.55,95,100,8.63,1603111967,CA
Pochutla,15.74,-96.47,73,88,0,3.33,1603111967,MX
Piteå,65.32,21.48,33.6,91,100,13.06,1603111794,SE
Mataura,-46.19,168.86,46.99,85,44,18.01,1603111968,NZ
Kourou,5.16,-52.65,86.99,62,14,9.8,1603111968,GF
Ancud,-41.87,-73.82,48.42,74,96,4.23,1603111968,CL
Flinders,-34.58,150.86,62.01,78,100,1.01,1603111969,AU
Tynset,62.28,10.78,35.71,78,2,4.23,1603111969,NO
Zhigansk,66.77,123.37,10.69,93,100,7.52,1603111969,RU
New Norfolk,-42.78,147.06,48,76,100,2.04,1603111969,AU
Antofagasta,-23.65,-70.4,64.26,57,4,5.21,1603111794,CL
Messíni,37.05,22.01,73,60,99,2.82,1603111970,GR
Baharly,38.44,57.43,76.37,16,0,4.76,1603111970,TM
La Ronge,55.1,-105.28,19.04,97,43,6.78,1603111970,CA
Hobart,-42.88,147.33,48,89,92,2.33,1603111760,AU
Birjand,32.87,59.22,63.86,21,0,7.52,1603111970,IR
Tuatapere,-46.13,167.68,46.99,85,79,18.01,1603111971,NZ
Geraldton,-28.77,114.6,66.99,76,87,4,1603111971,AU
Vaini,-21.2,-175.2,71.01,79,34,19.13,1603111971,TO
Pacific Grove,36.62,-121.92,55.99,98,0,0.67,1603111972,US
Atuona,-9.8,-139.03,78.06,73,8,20.33,1603111972,PF
Jamestown,42.1,-79.24,50,93,100,1.99,1603111972,US
Monze,-16.28,27.48,91.78,11,0,14.09,1603111972,ZM
Avarua,-21.21,-159.78,75.33,77,4,5.28,1603111972,CK
Okhotsk,59.38,143.3,25.3,82,0,23.2,1603111973,RU
Kaitangata,-46.28,169.85,46,82,61,1.01,1603111973,NZ
Aketi,2.74,23.78,86.09,63,100,4.32,1603111973,CD
Punta Arenas,-53.15,-70.92,41.92,66,74,24.29,1603111913,CL
Hambantota,6.12,81.12,82.6,71,98,22.24,1603111973,LK
Beloha,-25.17,45.05,91.15,26,0,15.19,1603111974,MG
Saint-Philippe,-21.36,55.77,78.01,68,32,5.99,1603111974,RE
