,legacy_id,is_returning,is_renting,is_installed,last_reported,num_docks_disabled,station_id,num_bikes_disabled,eightd_has_available_keys,num_ebikes_available,num_bikes_available,num_docks_available,station_status
0,72,1,1,1,1612687047,0,72,0,False,3,6,49,active
1,79,1,1,1,1612699173,0,79,1,False,6,31,1,active
2,82,1,1,1,1612680147,0,82,1,False,0,3,23,active
3,83,1,1,1,1612686192,0,83,0,False,4,54,8,active
4,116,1,1,1,1612697997,0,116,1,False,2,12,37,active
5,119,1,1,1,1612687239,0,119,1,False,0,13,39,active
6,120,1,1,1,1612678940,0,120,0,False,3,4,15,active
7,127,1,1,1,1612680147,0,127,2,False,1,27,2,active
8,128,1,1,1,1612680148,0,128,2,False,10,50,4,active
9,143,1,1,1,1612684814,0,143,2,False,0,3,19,active
10,144,1,1,1,1612688594,0,144,1,False,0,53,4,active
11,146,1,1,1,1612698929,0,146,2,False,3,22,15,active
12,150,1,1,1,1612694506,0,150,2,False,2,14,39,active
13,151,1,1,1,1612687229,0,151,1,False,0,17,15,active
14,152,1,1,1,1612691004,0,152,0,False,1,15,34,active
15,157,1,1,1,1612678940,1,157,1,False,4,11,10,active
16,161,1,1,1,1612687658,0,161,3,False,4,30,2,active
17,164,1,1,1,1612683765,0,164,2,False,0,0,45,active
18,168,1,1,1,1612680293,0,168,1,False,1,16,30,active
19,173,1,1,1,1612696465,0,173,0,False,0,1,69,active
20,174,1,1,1,1612697560,0,174,2,False,0,3,30,active
21,212,1,1,1,1612699121,0,212,1,False,1,28,31,active
22,216,1,1,1,1612678941,0,216,0,False,2,5,32,active
23,217,0,0,1,1612678942,0,217,1,False,4,35,3,active
24,223,1,1,1,1612697914,0,223,3,False,6,29,1,active
25,224,1,1,1,1612681139,0,224,1,False,1,3,30,active
26,228,1,1,1,1612681353,0,228,0,False,0,0,55,active
27,229,1,1,1,1612680147,0,229,2,False,0,12,9,active
28,232,1,1,1,1612697848,0,232,0,False,1,5,47,active
29,236,1,1,1,1612681202,0,236,2,False,5,32,17,active
30,237,1,1,1,1612696227,0,237,2,False,0,19,18,active
31,238,1,1,1,1612684569,0,238,6,False,0,23,2,active
32,239,1,1,1,1612678940,0,239,0,False,0,5,26,active
33,241,1,1,1,1612698488,0,241,0,False,0,5,18,active
